Instrument,AV,tangible_repro,intangible_repro,EPV,FranchiseValue,FranchiseShare,AV_over_EV,ROIC,CompanyMoat(v3.2),CoreMoat(v3.2),MoatGap
WWGG.F,1443806302.338422,4882594789.979521,0.0,349718075.07198524,-1094088227.2664368,-3.128486358736911,0.5126480150685011,0.016955366668915468,7.35,7.7,0.35
WEC.N,35838503970.89047,63377432548.11319,1985.4452385519,19481638737.56977,-16356865233.320702,-0.8396041756886172,0.6009106233828171,0.03805166611550106,7.9,7.9,0.0
CUPu.TO,823272000.0,2141809609.570856,0.0,272560762.1557911,-550711237.844209,-2.0205081372990574,0.8176703825178119,0.02317490859752959,8.5,8.9,0.4
ISA.CN,15240153687.845741,14955909333.31625,43305430.82859051,24053445181.36528,8813291493.519539,0.36640453901993986,0.8495788571774644,0.08779424810016265,8.05,8.95,0.9
ORYGENC1.LM,987538809.2547437,5741368390.97168,0.0,2885266670.596194,1897727861.3414502,0.6577304901072855,0.3972156369863499,0.20451719471577157,7.2,7.7,0.5
CGPA2m.BA,222833638.8697449,1851386379.506411,0.0,-330484028.85013914,-553317667.719884,1.6742644709490357,0.9278751406701701,-0.10381683006591483,7.2,7.65,0.45
015760.KS,127631793592.34346,335918283406.4166,1912811430.572071,-77211690869.65126,-204843484461.99472,2.6530112493950093,1.1949532288224316,-0.0454479110958918,7.35,7.7,0.35
IT.N,12714003758.310726,910278675.1162431,5548991379.155363,19184289605.70235,6470285847.391624,0.3372700256499669,1.1606042443431008,0.17472918520455183,7.7,8.7,1.0
SRE.N,77004000000.0,83957731983.99791,0.0,25410929550.493423,-51593070449.50658,-2.030349592170065,0.8106910641908391,0.023099645064341333,6.8,7.4,0.6
IGN1L.VL,5523061202.917448,8784352590.026213,0.0,3499357965.6819596,-2023703237.2354884,-0.5783070086232537,1.3630149681635855,0.04435132050833413,7.15,8.9,1.75
INF1T.TL,2396409670.868631,0.0,13023434.73196971,2024579004.4383984,-371830666.4302325,-0.18365826456516834,1.0841954801604734,0.05946183969762666,6.3,8.2,1.9
CGET.SN,1184307731.821214,2142122570.484269,0.0,1932000911.0903654,747693179.2691514,0.38700456867133415,1.2401083305999463,0.08875127350570028,8.1,8.65,0.55
ISAE4.SA,6381707953.817789,76337314.33906963,24513096.86507705,7639831172.112956,1258123218.295167,0.16467945298157768,1.0145164603952121,0.10131939023103127,7.5,8.05,0.55
IGNY.BU,4020208596.1578655,0.0,285860854.9047564,4149227295.2733035,129018699.11543798,0.031094632791607457,0.9682725268326776,0.07777687853238552,6.05,7.45,1.4
ORA.N,5189082270.758587,9331182439.091646,19609135.37929329,1774604965.7261498,-3414477305.0324373,-1.9240773980564565,0.4847159066420388,0.024029982233714824,6.75,7.7,0.95
IREE.MI,9490743807.476833,0.0,0.0,8328244212.989833,-1162499594.4870005,-0.13958519524125051,0.9755973150923776,0.05659205282866549,7.1,7.7,0.6
WTRG.N,14827584000.0,22776931899.89898,0.0,7633363934.797162,-7194220065.202838,-0.9424704660559338,0.7802614136029934,0.03603658393948747,7.6,7.85,0.25
TEMN.S,3297655727.022586,159760666.9108179,1124946863.511293,5674674370.725783,2377018643.7031975,0.4188819460664806,0.5303229236248064,0.16760923805555533,7.05,7.85,0.8
9449.T,2608780301.4775853,0.0,1734029474.0710585,6447969506.150332,3839189204.672747,0.5954105708798365,6.117795621381029,0.3243331122209554,6.35,7.45,1.1
YUBICO.ST,347800880.44319487,0.0,130205473.37737498,717388731.2722876,369587850.82909274,0.5151849126116456,0.8303752806000169,0.23078249612993926,6.85,7.65,0.8
CRCL.N,4143716337.6000004,47421554.17092606,1151355168.8,6155343557.612301,2011627220.0123005,0.32680990121575343,0.262802625903563,0.14399132481913962,6.6,6.95,0.35
YSNG.DE,375332587.34879124,79103308.93821993,125705228.73658505,1028136647.1726543,652804059.823863,0.6349390050622697,0.2719522251347088,0.2883080031860204,8.15,9.15,1.0
AMG1L.VL,351020868.0535409,0.0,5117683.007896297,-83724604.24634406,-434745472.2998849,5.192565270547321,0.9058570113950853,-0.01694324467255402,7.45,7.45,0.0
SMWB.N,887091681.0239241,94705026.55727294,468093340.51196206,115684597.68302648,-771407083.3408977,-6.6681917799855945,2.2983800113339283,0.022087838828511782,5.3,5.9,0.6
NWE.OQ,6332814000.0,12554485905.63775,0.0,2637383647.6897426,-3695430352.3102574,-1.4011728462589534,0.815036629745689,0.029152420288718724,7.9,8.55,0.65
NEAG.S,1396356717.522289,8857352883.451353,0.0,492344902.2042806,-904011815.3180084,-1.8361352199863372,1.04254530150063,0.024681474813580018,6.2,7.0,0.8
ANODb.ST,1608676450.5144558,0.0,521807515.3974606,1606905468.278603,-1770982.2358527184,-0.001102107293063034,1.8197732874343995,0.0850814980968174,7.05,8.35,1.3
YORW.OQ,444607000.0,960181540.6096085,0.0,276111124.0176884,-168495875.9823116,-0.6102466048108852,0.6210325502717345,0.043471602294246806,8.55,8.55,0.0
MUMG.DE,798581394.2003418,64535433.10227608,329787038.5492624,742644208.1219366,-55937186.07840526,-0.07532164859921832,1.1397691389702567,0.11089104197156276,6.65,7.75,1.1
CMS.N,27046000000.0,53633850031.78729,0.0,12817421379.28455,-14228578620.71545,-1.1100968127420392,0.654720694807602,0.033173833341341365,7.25,7.75,0.5
NWN.N,4137588000.0,7338591011.671149,0.0,1810057168.2408698,-2327530831.7591305,-1.2858880219905844,0.8898536105772729,0.030622672382281873,6.15,6.8,0.65
AOFG.DE,336866385.30041945,21630377.82094662,178215086.64032078,1103307442.072455,766441056.7720355,0.6946758696128715,0.2757435021749781,0.48680043338652995,7.75,8.4,0.65
APP.OQ,8575433772.940613,303905718.4839305,2646109386.470307,17373942155.150574,8798508382.20996,0.5064198040743222,0.056760758121831976,0.20421501242694606,7.35,7.7,0.35
058970.KQ,129446369.74812773,12287153.086406,39940634.24060768,118633329.87831002,-10813039.869817704,-0.09114672816576376,1.1800107814642549,0.09808160741003424,6.95,7.55,0.6
ALUP11.SA,4009371553.770317,1734754446.176627,0.0,4092300183.576331,82928629.80601406,0.020264551984439546,1.0466760461350444,0.08484691677980419,7.25,8.15,0.9
SO.N,107258000000.0,0.0,0.0,72316992593.7888,-34941007406.2112,-0.48316455307368833,0.604503142444058,0.04719638145001041,7.55,7.8,0.25
NEE.N,157562000000.0,235980086203.9862,0.0,64957816232.99213,-92604183767.00787,-1.4256049408257991,0.5772983140481934,0.028858780266240905,8.15,8.5,0.35
CPFE3.SA,8924757166.331936,5269236529.005189,0.0,16050886371.92689,7126129205.594954,0.44397107053593016,0.6154535530198195,0.1579541705009827,7.95,8.85,0.9
