date,n_pos,cash_pct,top1,top3,effN
2004-12-31,6,0.5079602452166161,0.10000000000000002,0.2903047606642092,23.568523402093597
2005-03-31,6,0.5151406090369728,0.1,0.2806866399762691,24.370883728125126
2005-06-30,6,0.5473806099046848,0.1,0.28105669340576556,26.75005096242983
2005-09-30,6,0.5445058577057654,0.1,0.2908599650887541,26.30370479938185
2005-12-30,6,0.5551340321131573,0.1,0.2808652842786026,27.272788821933354
2006-03-31,6,0.5559902292917565,0.1,0.2882090947256095,26.599206910750432
2006-06-30,7,0.48063946432728083,0.1,0.2853303009208033,23.10098783702946
2006-09-29,7,0.47128692938315486,0.09921838275624706,0.2917613381022564,22.69795988492388
2006-12-29,7,0.46684314777473135,0.09999999999999999,0.2954440406339022,22.04637616887017
2007-03-30,7,0.46829815166048494,0.1,0.30000000000000004,21.56048861253145
2007-06-29,7,0.4732308131324444,0.1,0.30000000000000004,21.695402140707014
2007-09-28,7,0.5027352329002792,0.1,0.2919484038348448,24.18799868053587
2007-12-31,7,0.5161834534033887,0.1,0.2966771235221918,24.17064103444735
2008-03-31,7,0.5291475497457481,0.1,0.2882462948649561,25.766022124439424
2008-06-30,7,0.5497716439205012,0.09569363469144118,0.28309763839947827,27.863965422533013
2008-09-30,7,0.5688586867824101,0.09907283720324225,0.24867864543042134,32.100645241017936
2008-12-31,7,0.5995504125790213,0.1,0.25307166591104147,34.96537642688111
2009-03-31,7,0.6298588934994842,0.1,0.23753358960068335,39.839105882068836
2009-06-30,7,0.600578505981843,0.0893355639347207,0.24252407476224025,36.402905816014886
2009-09-30,7,0.5810321817332545,0.08212769961292499,0.24318895347479672,34.63236265687892
2009-12-31,7,0.585958354019637,0.08909408094931956,0.2508916174917015,34.339098921209384
2010-03-31,7,0.5698330220640913,0.09440656514767592,0.2568217634948936,32.19039911538335
2010-06-30,7,0.596685147005932,0.1,0.25756634202778617,34.96951845594354
2010-09-30,7,0.5737068228171841,0.10000000000000002,0.26227038833479577,32.18124320780289
2010-12-31,7,0.5674908832557809,0.10000000000000002,0.26999684499321747,30.569202651800946
2011-03-31,7,0.5502642029846793,0.09840249330799156,0.27768202382839463,28.59006025668702
2011-06-30,7,0.5371639339229054,0.1,0.2805453971541283,27.635387523631884
2011-09-30,7,0.5951547531375231,0.09999999999999999,0.2410511665985125,36.14294280279802
2011-12-30,7,0.5700153478783964,0.09702878512147009,0.24562659716708646,32.982982327894135
2012-03-30,7,0.5583067414489941,0.1,0.25870210248482783,31.58421180593289
2012-06-29,7,0.5685431082700361,0.09999999999999998,0.2538248097598338,32.96571241994839
2012-09-28,7,0.551133378428505,0.09711588891295966,0.25595157457624973,31.186895466616466
2012-12-31,7,0.550393615952681,0.09252800271517148,0.25902085388836926,30.900302837788697
2013-03-29,7,0.5516183998214258,0.0922759448949231,0.25831524877516965,31.069345823154162
2013-06-28,7,0.45648921661589487,0.10000000000000003,0.2953705395969535,21.97018114276595
2013-09-30,7,0.4405971835228992,0.1,0.2949768963853556,20.673735391704465
2013-12-31,7,0.4432020768957281,0.09999999999999999,0.2975586334452077,20.569666308729378
2014-03-31,8,0.34595733625843644,0.1,0.30000000000000004,16.82875852511116
2014-06-30,8,0.37560828438399474,0.10000000000000002,0.30000000000000004,18.38305596853046
2014-09-30,8,0.4196507388178164,0.1,0.28551547246223025,21.04088506188812
2014-12-31,7,0.493232224530395,0.1,0.2882369731079874,23.38866083475609
2015-03-31,7,0.5035930510870829,0.10000000000000002,0.2946980442022465,23.88086416139539
2015-06-30,7,0.500728578219378,0.09672685659832989,0.28026894477565345,23.883958264158586
2015-09-30,7,0.4259324696708852,0.10000000000000002,0.30000000000000004,19.425087121324594
2015-12-31,7,0.42806478514168855,0.1,0.2990653436762403,19.616190570670344
2016-03-31,7,0.4306458314995461,0.1,0.2990869742761366,19.463716020229583
2016-06-30,7,0.42840771667992156,0.1,0.2922063131477902,19.23202332932976
2016-09-30,7,0.42909929956676696,0.1,0.2926562610305731,19.33101754082368
2016-12-30,7,0.4232481275859561,0.1,0.2926374692351979,19.25205316455977
2017-03-31,6,0.45500695207569725,0.1,0.30000000000000004,19.96769830812651
2017-06-30,6,0.4738902211700984,0.1,0.2996963788969606,21.053098235325503
2017-09-29,6,0.48637466758603215,0.1,0.29313015130646386,22.170401893946813
2017-12-29,6,0.460451009783729,0.1,0.2913207382931541,20.330515433181947
2018-03-30,6,0.4718620106874401,0.1,0.2907286460122945,21.15365771589863
2018-06-29,5,0.5791240437784585,0.1,0.2753721512878089,27.638711844104467
