Instrument,Sales,AV_kept,AV_repro,EPV,MktCap,Fr_kept,Fr_repro,EPVoverAV_kept,EPVoverAV_repro,MktCap_over_EPV,AVrepro_over_MktCap,ROICm7,WACC,CoreMoat,CompanyMoat
BKSB.L,47386987.8533127,71014286.37035333,81300825.03688833,76120720.91710268,210779354.161803,5106434.546749353,-5180104.119785652,1.0719071444317316,0.9362847287535483,2.7690141609581818,0.38571531524135155,0.12097278,0.07253014739995724,7.75,7.15
INTA.OQ,504120000.0,1233762580.1887448,912901794.3935572,1337529465.6270757,4178909488.8,103766885.43833089,424627671.2335185,1.0841060404202374,1.4651405812118046,3.12434947879133,0.21845455060470875,0.0,0.07,8.05,7.05
3836.T,188899399.524392,215404815.9529876,203619489.07127953,492959625.1875589,402050682.855357,277554809.2345713,289340136.11627936,2.2885264798125404,2.420984491396068,0.8155854198046882,0.5064522901072508,0.2509074416,0.07400000000000001,7.8,7.0
OTEX.TO,5168405000.0,8953397408.346764,360807121.8209038,21168018409.822624,7450482044.45506,12214621001.47586,20807211288.00172,2.3642442577259932,58.66851602871058,0.35196880030101463,0.0484273527092694,0.1308112363,0.05260303687325396,6.8,6.0
ZS.OQ,2673115000.0,5107347345.549182,5321189068.883091,8674238488.32146,44460456096.32,3566891142.772279,3353049419.4383698,1.6983842886426475,1.6301316070586775,5.12557455691116,0.11968363656358277,0.1126008235,0.07,8.5,7.8
PANW.OQ,9221500000.0,18989714306.53061,12018156561.568336,31676680347.179287,115953644811.2,12686966040.648678,19658523785.61095,1.6680967304645336,2.6357353713026987,3.6605365063617,0.10364621639222073,0.1259107669,0.07,8.15,7.65
INTU.OQ,18831000000.0,42414965550.83364,23345069779.849167,83652357353.3763,219152551770.0,41237391802.542656,60307287573.52713,1.9722368335563143,3.583298664010966,2.619801266857601,0.10652428909132554,0.1978008793,0.06842711651191644,8.75,7.8
TRCS.L,106422667.65544,179310113.9998234,141871689.49117404,142562564.3155487,149190511.95711,-36747549.6842747,690874.824374646,0.7950614783262538,1.004869715916209,1.046491501281437,0.950943110457051,-0.0145952959,0.07300000000000001,7.8,6.4
NTNX.OQ,2537927000.0,3947979746.6881695,5616845123.706993,6774063927.569804,20151382142.01,2826084180.8816347,1157218803.862811,1.715830465759695,1.206026475428091,2.9747847610347704,0.2787325000401556,0.0546190618,0.06812035078196156,6.95,6.6
GWRE.N,1202459000.0,3095478375.5386105,2190239621.373978,2576422878.834788,19046643347.06,-519055496.7038226,386183257.4608097,0.8323181641953782,1.1763200947020354,7.392669698568284,0.11499347057979425,-0.0720949148,0.06965368174925815,9.2,8.4
